[PLATFORM] virtual=false | queueWait=0ms | totalTime=205ms | thread=pool-2-thread-2
[PLATFORM] virtual=false | queueWait=0ms | totalTime=211ms | thread=pool-2-thread-3
[PLATFORM] virtual=false | queueWait=0ms | totalTime=205ms | thread=pool-2-thread-4
[PLATFORM] virtual=false | queueWait=0ms | totalTime=215ms | thread=pool-2-thread-1
[PLATFORM] virtual=false | queueWait=0ms | totalTime=210ms | thread=pool-2-thread-6
[PLATFORM] virtual=false | queueWait=0ms | totalTime=207ms | thread=pool-2-thread-7
[PLATFORM] virtual=false | queueWait=0ms | totalTime=217ms | thread=pool-2-thread-5
[PLATFORM] virtual=false | queueWait=0ms | totalTime=202ms | thread=pool-2-thread-8
[PLATFORM] virtual=false | queueWait=0ms | totalTime=214ms | thread=pool-2-thread-9
[PLATFORM] virtual=false | queueWait=0ms | totalTime=205ms | thread=pool-2-thread-10
[PLATFORM] virtual=false | queueWait=104ms | totalTime=305ms | thread=pool-2-thread-2
[PLATFORM] virtual=false | queueWait=111ms | totalTime=312ms | thread=pool-2-thread-3
[PLATFORM] virtual=false | queueWait=116ms | totalTime=317ms | thread=pool-2-thread-4
[PLATFORM] virtual=false | queueWait=105ms | totalTime=306ms | thread=pool-2-thread-1
[PLATFORM] virtual=false | queueWait=109ms | totalTime=311ms | thread=pool-2-thread-6
[PLATFORM] virtual=false | queueWait=117ms | totalTime=319ms | thread=pool-2-thread-7
[PLATFORM] virtual=false | queueWait=106ms | totalTime=308ms | thread=pool-2-thread-5
[PLATFORM] virtual=false | queueWait=100ms | totalTime=301ms | thread=pool-2-thread-9
[PLATFORM] virtual=false | queueWait=113ms | totalTime=315ms | thread=pool-2-thread-8
[PLATFORM] virtual=false | queueWait=107ms | totalTime=310ms | thread=pool-2-thread-10
[PLATFORM] virtual=false | queueWait=205ms | totalTime=408ms | thread=pool-2-thread-2
[PLATFORM] virtual=false | queueWait=212ms | totalTime=415ms | thread=pool-2-thread-3
[PLATFORM] virtual=false | queueWait=216ms | totalTime=419ms | thread=pool-2-thread-1
[PLATFORM] virtual=false | queueWait=209ms | totalTime=411ms | thread=pool-2-thread-4
[PLATFORM] virtual=false | queueWait=211ms | totalTime=414ms | thread=pool-2-thread-6
[PLATFORM] virtual=false | queueWait=208ms | totalTime=410ms | thread=pool-2-thread-5
[PLATFORM] virtual=false | queueWait=220ms | totalTime=423ms | thread=pool-2-thread-7
[PLATFORM] virtual=false | queueWait=216ms | totalTime=418ms | thread=pool-2-thread-8
[PLATFORM] virtual=false | queueWait=204ms | totalTime=406ms | thread=pool-2-thread-9
[PLATFORM] virtual=false | queueWait=210ms | totalTime=412ms | thread=pool-2-thread-10
[PLATFORM] virtual=false | queueWait=306ms | totalTime=508ms | thread=pool-2-thread-2
[PLATFORM] virtual=false | queueWait=314ms | totalTime=516ms | thread=pool-2-thread-3
[PLATFORM] virtual=false | queueWait=309ms | totalTime=511ms | thread=pool-2-thread-4
[PLATFORM] virtual=false | queueWait=320ms | totalTime=522ms | thread=pool-2-thread-1
[PLATFORM] virtual=false | queueWait=316ms | totalTime=518ms | thread=pool-2-thread-6
[PLATFORM] virtual=false | queueWait=310ms | totalTime=511ms | thread=pool-2-thread-7
[PLATFORM] virtual=false | queueWait=320ms | totalTime=527ms | thread=pool-2-thread-5
[PLATFORM] virtual=false | queueWait=306ms | totalTime=507ms | thread=pool-2-thread-9
[PLATFORM] virtual=false | queueWait=316ms | totalTime=517ms | thread=pool-2-thread-8
[PLATFORM] virtual=false | queueWait=311ms | totalTime=519ms | thread=pool-2-thread-10
[PLATFORM] virtual=false | queueWait=412ms | totalTime=615ms | thread=pool-2-thread-2
[PLATFORM] virtual=false | queueWait=417ms | totalTime=619ms | thread=pool-2-thread-3
[PLATFORM] virtual=false | queueWait=411ms | totalTime=626ms | thread=pool-2-thread-1
[PLATFORM] virtual=false | queueWait=421ms | totalTime=636ms | thread=pool-2-thread-4
[PLATFORM] virtual=false | queueWait=418ms | totalTime=621ms | thread=pool-2-thread-6
[PLATFORM] virtual=false | queueWait=418ms | totalTime=622ms | thread=pool-2-thread-9
[PLATFORM] virtual=false | queueWait=424ms | totalTime=640ms | thread=pool-2-thread-7
[PLATFORM] virtual=false | queueWait=406ms | totalTime=610ms | thread=pool-2-thread-8
[PLATFORM] virtual=false | queueWait=418ms | totalTime=632ms | thread=pool-2-thread-5
[PLATFORM] virtual=false | queueWait=417ms | totalTime=630ms | thread=pool-2-thread-10
[PLATFORM] virtual=false | queueWait=515ms | totalTime=720ms | thread=pool-2-thread-2
[PLATFORM] virtual=false | queueWait=518ms | totalTime=723ms | thread=pool-2-thread-3
[PLATFORM] virtual=false | queueWait=520ms | totalTime=724ms | thread=pool-2-thread-6
[PLATFORM] virtual=false | queueWait=536ms | totalTime=744ms | thread=pool-2-thread-4
[PLATFORM] virtual=false | queueWait=525ms | totalTime=733ms | thread=pool-2-thread-1
[PLATFORM] virtual=false | queueWait=509ms | totalTime=714ms | thread=pool-2-thread-5
[PLATFORM] virtual=false | queueWait=521ms | totalTime=726ms | thread=pool-2-thread-8
[PLATFORM] virtual=false | queueWait=541ms | totalTime=746ms | thread=pool-2-thread-7
[PLATFORM] virtual=false | queueWait=531ms | totalTime=736ms | thread=pool-2-thread-9
[PLATFORM] virtual=false | queueWait=531ms | totalTime=736ms | thread=pool-2-thread-10
[PLATFORM] virtual=false | queueWait=620ms | totalTime=821ms | thread=pool-2-thread-2
[PLATFORM] virtual=false | queueWait=623ms | totalTime=825ms | thread=pool-2-thread-3
[PLATFORM] virtual=false | queueWait=644ms | totalTime=845ms | thread=pool-2-thread-6
[PLATFORM] virtual=false | queueWait=624ms | totalTime=825ms | thread=pool-2-thread-1
[PLATFORM] virtual=false | queueWait=634ms | totalTime=835ms | thread=pool-2-thread-4
[PLATFORM] virtual=false | queueWait=645ms | totalTime=847ms | thread=pool-2-thread-5
[PLATFORM] virtual=false | queueWait=618ms | totalTime=819ms | thread=pool-2-thread-7
